,date
1742,3/6/20
1743,3/9/20
1744,3/10/20
1745,3/11/20
1746,3/12/20
1747,3/13/20
1748,3/16/20
1749,3/17/20
1750,3/18/20
1751,3/19/20
1752,3/20/20
1753,3/23/20
1754,3/24/20
1755,3/25/20
1756,3/26/20
1757,3/27/20
1758,3/30/20
1759,3/31/20
1760,4/1/20
1761,4/2/20
1762,4/3/20
1763,4/7/20
1764,4/8/20
1765,4/9/20
1766,4/10/20
1767,4/13/20
1768,4/14/20
1769,4/15/20
1770,4/16/20
1771,4/17/20
1772,4/20/20
1773,4/21/20
1774,4/22/20
1775,4/23/20
1776,4/24/20
1777,4/27/20
1778,4/28/20
1779,4/29/20
1780,4/30/20
1781,5/6/20
1782,5/7/20
1783,5/8/20
1784,5/11/20
1785,5/12/20
1786,5/13/20
1787,5/14/20
1788,5/15/20
1789,5/18/20
1790,5/19/20
1791,5/20/20
1792,5/21/20
1793,5/22/20
1794,5/25/20
1795,5/26/20
1796,5/27/20
1797,5/28/20
1798,5/29/20
1799,6/1/20
1800,6/2/20
1801,6/3/20
1802,6/4/20
1803,6/5/20
1804,6/8/20
1805,6/9/20
1806,6/10/20
1807,6/11/20
1808,6/12/20
1809,6/15/20
1810,6/16/20
1811,6/17/20
1812,6/18/20
1813,6/19/20
1814,6/22/20
1815,6/23/20
1816,6/24/20
1817,6/29/20
1818,6/30/20
1819,7/1/20
1820,7/2/20
1821,7/3/20
1822,7/6/20
1823,7/7/20
1824,7/8/20
1825,7/9/20
1826,7/10/20
1827,7/13/20
1828,7/14/20
1829,7/15/20
1830,7/16/20
1831,7/17/20
1832,7/20/20
1833,7/21/20
1834,7/22/20
1835,7/23/20
1836,7/24/20
1837,7/27/20
1838,7/28/20
1839,7/29/20
1840,7/30/20
1841,7/31/20
1842,8/3/20
1843,8/4/20
1844,8/5/20
1845,8/6/20
1846,8/7/20
1847,8/10/20
1848,8/11/20
1849,8/12/20
1850,8/13/20
1851,8/14/20
1852,8/17/20
1853,8/18/20
1854,8/19/20
1855,8/20/20
1856,8/21/20
1857,8/24/20
1858,8/25/20
1859,8/26/20
1860,8/27/20
1861,8/28/20
1862,8/31/20
1863,9/1/20
1864,9/2/20
1865,9/3/20
1866,9/4/20
1867,9/7/20
1868,9/8/20
1869,9/9/20
1870,9/10/20
1871,9/11/20
1872,9/14/20
1873,9/15/20
1874,9/16/20
1875,9/17/20
1876,9/18/20
1877,9/21/20
1878,9/22/20
1879,9/23/20
1880,9/24/20
1881,9/25/20
1882,9/28/20
1883,9/29/20
1884,9/30/20
1885,10/9/20
1886,10/12/20
1887,10/13/20
1888,10/14/20
1889,10/15/20
1890,10/16/20
1891,10/19/20
1892,10/20/20
1893,10/21/20
1894,10/22/20
1895,10/23/20
1896,10/26/20
1897,10/27/20
1898,10/28/20
1899,10/29/20
1900,10/30/20
1901,11/2/20
1902,11/3/20
1903,11/4/20
1904,11/5/20
1905,11/6/20
1906,11/9/20
1907,11/10/20
1908,11/11/20
1909,11/12/20
1910,11/13/20
1911,11/16/20
1912,11/17/20
1913,11/18/20
1914,11/19/20
1915,11/20/20
1916,11/23/20
1917,11/24/20
1918,11/25/20
1919,11/26/20
1920,11/27/20
1921,11/30/20
1922,12/1/20
1923,12/2/20
1924,12/3/20
1925,12/4/20
1926,12/7/20
1927,12/8/20
1928,12/9/20
1929,12/10/20
1930,12/11/20
1931,12/14/20
1932,12/15/20
1933,12/16/20
1934,12/17/20
1935,12/18/20
1936,12/21/20
1937,12/22/20
1938,12/23/20
1939,12/24/20
1940,12/25/20
1941,12/28/20
1942,12/29/20
1943,12/30/20
1944,12/31/20
1945,1/4/21
1946,1/5/21
1947,1/6/21
1948,1/7/21
1949,1/8/21
1950,1/11/21
1951,1/12/21
1952,1/13/21
1953,1/14/21
1954,1/15/21
1955,1/18/21
1956,1/19/21
1957,1/20/21
1958,1/21/21
1959,1/22/21
1960,1/25/21
1961,1/26/21
1962,1/27/21
1963,1/28/21
1964,1/29/21
1965,2/1/21
1966,2/2/21
1967,2/3/21
1968,2/4/21
1969,2/5/21
1970,2/8/21
1971,2/9/21
1972,2/10/21
1973,2/18/21
1974,2/19/21
1975,2/22/21
1976,2/23/21
1977,2/24/21
1978,2/25/21
1979,2/26/21
1980,3/1/21
1981,3/2/21
1982,3/3/21
1983,3/4/21
1984,3/5/21
1985,3/8/21
1986,3/9/21
1987,3/10/21
1988,3/11/21
1989,3/12/21
1990,3/15/21
1991,3/16/21
1992,3/17/21
1993,3/18/21
1994,3/19/21
1995,3/22/21
1996,3/23/21
1997,3/24/21
1998,3/25/21
1999,3/26/21
2000,3/29/21
2001,3/30/21
2002,3/31/21
2003,4/1/21
2004,4/2/21
2005,4/6/21
2006,4/7/21
2007,4/8/21
2008,4/9/21
2009,4/12/21
2010,4/13/21
2011,4/14/21
2012,4/15/21
2013,4/16/21
2014,4/19/21
2015,4/20/21
2016,4/21/21
2017,4/22/21
2018,4/23/21
2019,4/26/21
2020,4/27/21
2021,4/28/21
2022,4/29/21
2023,4/30/21
2024,5/6/21
2025,5/7/21
2026,5/10/21
2027,5/11/21
2028,5/12/21
2029,5/13/21
2030,5/14/21
2031,5/17/21
2032,5/18/21
2033,5/19/21
2034,5/20/21
2035,5/21/21
2036,5/24/21
2037,5/25/21
2038,5/26/21
2039,5/27/21
2040,5/28/21
2041,5/31/21
2042,6/1/21
2043,6/2/21
2044,6/3/21
2045,6/4/21
2046,6/7/21
2047,6/8/21
2048,6/9/21
2049,6/10/21
2050,6/11/21
2051,6/15/21
2052,6/16/21
2053,6/17/21
2054,6/18/21
2055,6/21/21
2056,6/22/21
2057,6/23/21
2058,6/24/21
2059,6/25/21
2060,6/28/21
2061,6/29/21
2062,6/30/21
2063,7/1/21
2064,7/2/21
2065,7/5/21
2066,7/6/21
2067,7/7/21
2068,7/8/21
2069,7/9/21
2070,7/12/21
2071,7/13/21
2072,7/14/21
2073,7/15/21
2074,7/16/21
2075,7/19/21
2076,7/20/21
2077,7/21/21
2078,7/22/21
2079,7/23/21
2080,7/26/21
2081,7/27/21
2082,7/28/21
2083,7/29/21
2084,7/30/21
2085,8/2/21
2086,8/3/21
2087,8/4/21
2088,8/5/21
2089,8/6/21
2090,8/9/21
2091,8/10/21
2092,8/11/21
2093,8/12/21
2094,8/13/21
2095,8/16/21
2096,8/17/21
2097,8/18/21
2098,8/19/21
2099,8/20/21
2100,8/23/21
2101,8/24/21
2102,8/25/21
2103,8/26/21
2104,8/27/21
2105,8/30/21
2106,8/31/21
2107,9/1/21
2108,9/2/21
2109,9/3/21
2110,9/6/21
2111,9/7/21
2112,9/8/21
2113,9/9/21
2114,9/10/21
2115,9/13/21
2116,9/14/21
2117,9/15/21
2118,9/16/21
2119,9/17/21
2120,9/22/21
2121,9/23/21
2122,9/24/21
2123,9/27/21
2124,9/28/21
2125,9/29/21
2126,9/30/21
2127,10/8/21
2128,10/11/21
2129,10/12/21
2130,10/13/21
2131,10/14/21
2132,10/15/21
2133,10/18/21
2134,10/19/21
2135,10/20/21
2136,10/21/21
2137,10/22/21
2138,10/25/21
2139,10/26/21
2140,10/27/21
2141,10/28/21
2142,10/29/21
2143,11/1/21
2144,11/2/21
2145,11/3/21
2146,11/4/21
2147,11/5/21
2148,11/8/21
2149,11/9/21
2150,11/10/21
2151,11/11/21
2152,11/12/21
2153,11/15/21
2154,11/16/21
2155,11/17/21
2156,11/18/21
2157,11/19/21
2158,11/22/21
2159,11/23/21
2160,11/24/21
2161,11/25/21
2162,11/26/21
2163,11/29/21
2164,11/30/21
2165,12/1/21
2166,12/2/21
2167,12/3/21
2168,12/6/21
2169,12/7/21
2170,12/8/21
2171,12/9/21
2172,12/10/21
2173,12/13/21
2174,12/14/21
2175,12/15/21
2176,12/16/21
2177,12/17/21
2178,12/20/21
2179,12/21/21
2180,12/22/21
2181,12/23/21
2182,12/24/21
2183,12/27/21
2184,12/28/21
2185,12/29/21
2186,12/30/21
2187,12/31/21
2188,1/4/22
2189,1/5/22
2190,1/6/22
2191,1/7/22
2192,1/10/22
2193,1/11/22
2194,1/12/22
2195,1/13/22
2196,1/14/22
2197,1/17/22
2198,1/18/22
2199,1/19/22
2200,1/20/22
2201,1/21/22
2202,1/24/22
2203,1/25/22
2204,1/26/22
2205,1/27/22
2206,1/28/22
2207,2/7/22
2208,2/8/22
2209,2/9/22
2210,2/10/22
2211,2/11/22
2212,2/14/22
2213,2/15/22
2214,2/16/22
2215,2/17/22
2216,2/18/22
2217,2/21/22
2218,2/22/22
2219,2/23/22
2220,2/24/22
2221,2/25/22
2222,2/28/22
2223,3/1/22
2224,3/2/22
2225,3/3/22
2226,3/4/22
2227,3/7/22
2228,3/8/22
2229,3/9/22
2230,3/10/22
2231,3/11/22
2232,3/14/22
2233,3/15/22
2234,3/16/22
2235,3/17/22
2236,3/18/22
2237,3/21/22
2238,3/22/22
2239,3/23/22
2240,3/24/22
2241,3/25/22
2242,3/28/22
2243,3/29/22
2244,3/30/22
2245,3/31/22
2246,4/1/22
2247,4/6/22
2248,4/7/22
2249,4/8/22
2250,4/11/22
2251,4/12/22
2252,4/13/22
2253,4/14/22
2254,4/15/22
2255,4/18/22
2256,4/19/22
2257,4/20/22
2258,4/21/22
2259,4/22/22
2260,4/25/22
2261,4/26/22
2262,4/27/22
2263,4/28/22
2264,4/29/22
2265,5/5/22
2266,5/6/22
2267,5/9/22
2268,5/10/22
2269,5/11/22
2270,5/12/22
2271,5/13/22
2272,5/16/22
2273,5/17/22
2274,5/18/22
2275,5/19/22
2276,5/20/22
2277,5/23/22
2278,5/24/22
2279,5/25/22
2280,5/26/22
2281,5/27/22
2282,5/30/22
2283,5/31/22
2284,6/1/22
2285,6/2/22
2286,6/6/22
2287,6/7/22
2288,6/8/22
2289,6/9/22
2290,6/10/22
2291,6/13/22
2292,6/14/22
2293,6/15/22
2294,6/16/22
2295,6/17/22
2296,6/20/22
2297,6/21/22
2298,6/22/22
2299,6/23/22
2300,6/24/22
2301,6/27/22
2302,6/28/22
2303,6/29/22
2304,6/30/22
2305,7/1/22
2306,7/4/22
2307,7/5/22
2308,7/6/22
2309,7/7/22
2310,7/8/22
2311,7/11/22
2312,7/12/22
2313,7/13/22
2314,7/14/22
2315,7/15/22
2316,7/18/22
2317,7/19/22
2318,7/20/22
2319,7/21/22
2320,7/22/22
2321,7/25/22
2322,7/26/22
2323,7/27/22
2324,7/28/22
2325,7/29/22
2326,8/1/22
2327,8/2/22
2328,8/3/22
2329,8/4/22
2330,8/5/22
2331,8/8/22
2332,8/9/22
2333,8/10/22
2334,8/11/22
2335,8/12/22
2336,8/15/22
2337,8/16/22
2338,8/17/22
2339,8/18/22
2340,8/19/22
2341,8/22/22
2342,8/23/22
2343,8/24/22
2344,8/25/22
2345,8/26/22
2346,8/29/22
2347,8/30/22
2348,8/31/22
2349,9/1/22
2350,9/2/22
2351,9/5/22
2352,9/6/22
2353,9/7/22
2354,9/8/22
2355,9/9/22
2356,9/13/22
2357,9/14/22
2358,9/15/22
2359,9/16/22
2360,9/19/22
2361,9/20/22
2362,9/21/22
2363,9/22/22
2364,9/23/22
2365,9/26/22
2366,9/27/22
2367,9/28/22
2368,9/29/22
2369,9/30/22
2370,10/10/22
2371,10/11/22
2372,10/12/22
2373,10/13/22
2374,10/14/22
2375,10/17/22
2376,10/18/22
2377,10/19/22
2378,10/20/22
2379,10/21/22
2380,10/24/22
2381,10/25/22
2382,10/26/22
2383,10/27/22
2384,10/28/22
2385,10/31/22
2386,11/1/22
2387,11/2/22
2388,11/3/22
2389,11/4/22
2390,11/7/22
2391,11/8/22
2392,11/9/22
2393,11/10/22
2394,11/11/22
2395,11/14/22
2396,11/15/22
2397,11/16/22
2398,11/17/22
2399,11/18/22
2400,11/21/22
2401,11/22/22
2402,11/23/22
2403,11/24/22
2404,11/25/22
2405,11/28/22
2406,11/29/22
2407,11/30/22
2408,12/1/22
2409,12/2/22
2410,12/5/22
2411,12/6/22
2412,12/7/22
2413,12/8/22
2414,12/9/22
2415,12/12/22
2416,12/13/22
2417,12/14/22
2418,12/15/22
2419,12/16/22
2420,12/19/22
2421,12/20/22
2422,12/21/22
2423,12/22/22
2424,12/23/22
2425,12/26/22
2426,12/27/22
2427,12/28/22
2428,12/29/22
2429,12/30/22
2430,1/3/23
2431,1/4/23
2432,1/5/23
2433,1/6/23
2434,1/9/23
2435,1/10/23
2436,1/11/23
2437,1/12/23
2438,1/13/23
2439,1/16/23
2440,1/17/23
2441,1/18/23
2442,1/19/23
2443,1/20/23
2444,1/30/23
2445,1/31/23
2446,2/1/23
2447,2/2/23
2448,2/3/23
2449,2/6/23
2450,2/7/23
2451,2/8/23
2452,2/9/23
2453,2/10/23
2454,2/13/23
2455,2/14/23
2456,2/15/23
2457,2/16/23
2458,2/17/23
2459,2/20/23
2460,2/21/23
2461,2/22/23
2462,2/23/23
2463,2/24/23
2464,2/27/23
2465,2/28/23
2466,3/1/23
2467,3/2/23
2468,3/3/23
2469,3/6/23
2470,3/7/23
2471,3/8/23
2472,3/9/23
2473,3/10/23
2474,3/13/23
2475,3/14/23
2476,3/15/23
2477,3/16/23
2478,3/17/23
2479,3/20/23
2480,3/21/23
2481,3/22/23
2482,3/23/23
2483,3/24/23
2484,3/27/23
2485,3/28/23
2486,3/29/23
2487,3/30/23
2488,3/31/23
2489,4/3/23
2490,4/4/23
2491,4/6/23
2492,4/7/23
2493,4/10/23
2494,4/11/23
2495,4/12/23
2496,4/13/23
2497,4/14/23
2498,4/17/23
2499,4/18/23
2500,4/19/23
2501,4/20/23
2502,4/21/23
2503,4/24/23
2504,4/25/23
2505,4/26/23
2506,4/27/23
2507,4/28/23
2508,5/4/23
2509,5/5/23
2510,5/8/23
2511,5/9/23
2512,5/10/23
2513,5/11/23
2514,5/12/23
2515,5/15/23
2516,5/16/23
2517,5/17/23
2518,5/18/23
2519,5/19/23
2520,5/22/23
2521,5/23/23
2522,5/24/23
2523,5/25/23
2524,5/26/23
2525,5/29/23
2526,5/30/23
2527,5/31/23
2528,6/1/23
2529,6/2/23
2530,6/5/23
2531,6/6/23
2532,6/7/23
2533,6/8/23
2534,6/9/23
2535,6/12/23
2536,6/13/23
2537,6/14/23
2538,6/15/23
2539,6/16/23
2540,6/19/23
2541,6/20/23
2542,6/21/23
2543,6/26/23
2544,6/27/23
2545,6/28/23
2546,6/29/23
2547,6/30/23
2548,7/3/23
2549,7/4/23
2550,7/5/23
2551,7/6/23
2552,7/7/23
2553,7/10/23
2554,7/11/23
2555,7/12/23
2556,7/13/23
2557,7/14/23
2558,7/17/23
2559,7/18/23
2560,7/19/23
2561,7/20/23
2562,7/21/23
2563,7/24/23
2564,7/25/23
2565,7/26/23
2566,7/27/23
2567,7/28/23
2568,7/31/23
2569,8/1/23
2570,8/2/23
2571,8/3/23
2572,8/4/23
2573,8/7/23
2574,8/8/23
2575,8/9/23
2576,8/10/23
2577,8/11/23
2578,8/14/23
2579,8/15/23
2580,8/16/23
2581,8/17/23
2582,8/18/23
2583,8/21/23
2584,8/22/23
2585,8/23/23
2586,8/24/23
2587,8/25/23
2588,8/28/23
2589,8/29/23
2590,8/30/23
2591,8/31/23
2592,9/1/23
2593,9/4/23
2594,9/5/23
2595,9/6/23
2596,9/7/23
2597,9/8/23
2598,9/11/23
2599,9/12/23
2600,9/13/23
2601,9/14/23
2602,9/15/23
2603,9/18/23
2604,9/19/23
2605,9/20/23
2606,9/21/23
2607,9/22/23
2608,9/25/23
2609,9/26/23
2610,9/27/23
2611,9/28/23
2612,10/9/23
2613,10/10/23
2614,10/11/23
2615,10/12/23
2616,10/13/23
2617,10/16/23
2618,10/17/23
2619,10/18/23
2620,10/19/23
2621,10/20/23
2622,10/23/23
2623,10/24/23
2624,10/25/23
2625,10/26/23
2626,10/27/23
2627,10/30/23
2628,10/31/23
2629,11/1/23
2630,11/2/23
2631,11/3/23
2632,11/6/23
2633,11/7/23
2634,11/8/23
2635,11/9/23
2636,11/10/23
2637,11/13/23
2638,11/14/23
2639,11/15/23
2640,11/16/23
2641,11/17/23
2642,11/20/23
2643,11/21/23
2644,11/22/23
2645,11/23/23
2646,11/24/23
2647,11/27/23
2648,11/28/23
2649,11/29/23
2650,11/30/23
2651,12/1/23
2652,12/4/23
2653,12/5/23
2654,12/6/23
2655,12/7/23
2656,12/8/23
2657,12/11/23
2658,12/12/23
2659,12/13/23
2660,12/14/23
2661,12/15/23
2662,12/18/23
2663,12/19/23
2664,12/20/23
2665,12/21/23
2666,12/22/23
2667,12/25/23
2668,12/26/23
2669,12/27/23
2670,12/28/23
2671,12/29/23
2672,1/2/24
2673,1/3/24
2674,1/4/24
2675,1/5/24
2676,1/8/24
2677,1/9/24
2678,1/10/24
2679,1/11/24
2680,1/12/24
2681,1/15/24
2682,1/16/24
2683,1/17/24
2684,1/18/24
2685,1/19/24
2686,1/22/24
2687,1/23/24
2688,1/24/24
2689,1/25/24
2690,1/26/24
2691,1/29/24
2692,1/30/24
2693,1/31/24
2694,2/1/24
2695,2/2/24
2696,2/5/24
2697,2/6/24
2698,2/7/24
2699,2/8/24
2700,2/19/24
2701,2/20/24
2702,2/21/24
2703,2/22/24
2704,2/23/24
2705,2/26/24
2706,2/27/24
2707,2/28/24
2708,2/29/24
2709,3/1/24
2710,3/4/24
2711,3/5/24
2712,3/6/24
2713,3/7/24
2714,3/8/24
2715,3/11/24
2716,3/12/24
2717,3/13/24
2718,3/14/24
2719,3/15/24
2720,3/18/24
2721,3/19/24
2722,3/20/24
2723,3/21/24
2724,3/22/24
2725,3/25/24
2726,3/26/24
2727,3/27/24
2728,3/28/24
2729,3/29/24
2730,4/1/24
2731,4/2/24
2732,4/3/24
2733,4/8/24
2734,4/9/24
2735,4/10/24
2736,4/11/24
2737,4/12/24
2738,4/15/24
2739,4/16/24
2740,4/17/24
2741,4/18/24
2742,4/19/24
2743,4/22/24
2744,4/23/24
2745,4/24/24
2746,4/25/24
2747,4/26/24
2748,4/29/24
2749,4/30/24
2750,5/6/24
2751,5/7/24
2752,5/8/24
2753,5/9/24
2754,5/10/24
